"sample_name","r1_path","r2_path","ploidy"
"BBB20_035_pool","data/reads/BBB20_035_pool_r1.fastq.gz","data/reads/BBB20_035_pool_r2.fastq.gz","2"
"BBB20_073_pool","data/reads/BBB20_073_pool_r1.fastq.gz","data/reads/BBB20_073_pool_r2.fastq.gz","2"
"BBB20_049_drone","data/reads/BBB20_049_drone_r1.fastq.gz","data/reads/BBB20_049_drone_r2.fastq.gz","1"
"BBB20_043_pool","data/reads/BBB20_043_pool_r1.fastq.gz","data/reads/BBB20_043_pool_r2.fastq.gz","2"
"BBB20_087_drone","data/reads/BBB20_087_drone_r1.fastq.gz","data/reads/BBB20_087_drone_r2.fastq.gz","1"
"BBB20_110_pool","data/reads/BBB20_110_pool_r1.fastq.gz","data/reads/BBB20_110_pool_r2.fastq.gz","2"
"BBB20_082_pool","data/reads/BBB20_082_pool_r1.fastq.gz","data/reads/BBB20_082_pool_r2.fastq.gz","2"
"BBB20_081_pool","data/reads/BBB20_081_pool_r1.fastq.gz","data/reads/BBB20_081_pool_r2.fastq.gz","2"
"BBB20_076_pool","data/reads/BBB20_076_pool_r1.fastq.gz","data/reads/BBB20_076_pool_r2.fastq.gz","2"
"BBB20_093_drone","data/reads/BBB20_093_drone_r1.fastq.gz","data/reads/BBB20_093_drone_r2.fastq.gz","1"
"BBB20_109_drone","data/reads/BBB20_109_drone_r1.fastq.gz","data/reads/BBB20_109_drone_r2.fastq.gz","1"
"BBB20_043_drone","data/reads/BBB20_043_drone_r1.fastq.gz","data/reads/BBB20_043_drone_r2.fastq.gz","1"
"BBB20_074_pool","data/reads/BBB20_074_pool_r1.fastq.gz","data/reads/BBB20_074_pool_r2.fastq.gz","2"
"BBB20_115_drone","data/reads/BBB20_115_drone_r1.fastq.gz","data/reads/BBB20_115_drone_r2.fastq.gz","1"
"BBB20_029_pool","data/reads/BBB20_029_pool_r1.fastq.gz","data/reads/BBB20_029_pool_r2.fastq.gz","2"
"BBB20_097_pool","data/reads/BBB20_097_pool_r1.fastq.gz","data/reads/BBB20_097_pool_r2.fastq.gz","2"
"BBB20_045_drone","data/reads/BBB20_045_drone_r1.fastq.gz","data/reads/BBB20_045_drone_r2.fastq.gz","1"
"BBB20_014_pool","data/reads/BBB20_014_pool_r1.fastq.gz","data/reads/BBB20_014_pool_r2.fastq.gz","2"
"BBB20_036_pool","data/reads/BBB20_036_pool_r1.fastq.gz","data/reads/BBB20_036_pool_r2.fastq.gz","2"
"BBB20_059_drone","data/reads/BBB20_059_drone_r1.fastq.gz","data/reads/BBB20_059_drone_r2.fastq.gz","1"
"BBB20_019_drone","data/reads/BBB20_019_drone_r1.fastq.gz","data/reads/BBB20_019_drone_r2.fastq.gz","1"
"BBB20_059_pool","data/reads/BBB20_059_pool_r1.fastq.gz","data/reads/BBB20_059_pool_r2.fastq.gz","2"
"BBB20_108_pool","data/reads/BBB20_108_pool_r1.fastq.gz","data/reads/BBB20_108_pool_r2.fastq.gz","2"
"BBB20_061_drone","data/reads/BBB20_061_drone_r1.fastq.gz","data/reads/BBB20_061_drone_r2.fastq.gz","1"
"BBB20_104_pool","data/reads/BBB20_104_pool_r1.fastq.gz","data/reads/BBB20_104_pool_r2.fastq.gz","2"
"BBB20_041_drone","data/reads/BBB20_041_drone_r1.fastq.gz","data/reads/BBB20_041_drone_r2.fastq.gz","1"
"BBB20_069_pool","data/reads/BBB20_069_pool_r1.fastq.gz","data/reads/BBB20_069_pool_r2.fastq.gz","2"
"BBB20_111_pool","data/reads/BBB20_111_pool_r1.fastq.gz","data/reads/BBB20_111_pool_r2.fastq.gz","2"
"BBB20_110_drone","data/reads/BBB20_110_drone_r1.fastq.gz","data/reads/BBB20_110_drone_r2.fastq.gz","1"
"BBB20_071_pool","data/reads/BBB20_071_pool_r1.fastq.gz","data/reads/BBB20_071_pool_r2.fastq.gz","2"
"BBB20_036_drone","data/reads/BBB20_036_drone_r1.fastq.gz","data/reads/BBB20_036_drone_r2.fastq.gz","1"
"BBB20_064_drone","data/reads/BBB20_064_drone_r1.fastq.gz","data/reads/BBB20_064_drone_r2.fastq.gz","1"
"BBB20_104_drone","data/reads/BBB20_104_drone_r1.fastq.gz","data/reads/BBB20_104_drone_r2.fastq.gz","1"
"BBB20_089_pool","data/reads/BBB20_089_pool_r1.fastq.gz","data/reads/BBB20_089_pool_r2.fastq.gz","2"
"BBB20_089_drone","data/reads/BBB20_089_drone_r1.fastq.gz","data/reads/BBB20_089_drone_r2.fastq.gz","1"
"BBB20_095_pool","data/reads/BBB20_095_pool_r1.fastq.gz","data/reads/BBB20_095_pool_r2.fastq.gz","2"
"BBB20_102_pool","data/reads/BBB20_102_pool_r1.fastq.gz","data/reads/BBB20_102_pool_r2.fastq.gz","2"
"BBB20_037_pool","data/reads/BBB20_037_pool_r1.fastq.gz","data/reads/BBB20_037_pool_r2.fastq.gz","2"
"BBB20_097_drone","data/reads/BBB20_097_drone_r1.fastq.gz","data/reads/BBB20_097_drone_r2.fastq.gz","1"
""
